date,tournament,neutral,oc,total,btts,pH,pD,pA,p_o25,p_btts,rps,fav,comp,fav_oc,fb
2024-11-19,FIFA World Cup qualification,False,0,5,0,0.43543741350005555,0.25438002470278676,0.31018256179715775,0.5109305811548265,0.5474853348589905,0.20747206785927735,0.43543741350005555,WC qual,1,4
2024-11-19,FIFA World Cup qualification,False,2,5,1,0.03868438333019626,0.13154760799421844,0.8297680086755854,0.5109115887424376,0.2628501765912921,0.015237706191956583,0.8297680086755854,WC qual,1,8
2024-11-19,FIFA World Cup qualification,True,2,1,0,0.12949679496382685,0.20360753694067132,0.6668956680955018,0.5108144935618832,0.44914546115571624,0.06386395791972274,0.6668956680955018,WC qual,1,6
2024-11-19,African Cup of Nations qualification,False,1,2,1,0.8289157821032411,0.13202954733469321,0.03905467056206556,0.5107438595576872,0.2641295362880046,0.34431332055626973,0.8289157821032411,Other,0,8
2024-11-19,FIFA World Cup qualification,False,2,1,0,0.32217886590698297,0.25537745372431314,0.42244368036870406,0.5109306151947612,0.5492212576040977,0.21868526199157876,0.42244368036870406,WC qual,1,4
2024-11-19,African Cup of Nations qualification,False,0,1,0,0.280513667917085,0.25088092015516095,0.46860541192775385,0.5109304535518138,0.5413431158721098,0.3686258070710534,0.46860541192775385,Other,0,4
2024-11-19,African Cup of Nations qualification,False,0,3,1,0.7146450471235866,0.1857086543098957,0.09964629856651774,0.5108833416594022,0.4091198042614459,0.04567841697455386,0.7146450471235866,Other,1,7
2024-11-19,African Cup of Nations qualification,True,2,2,0,0.22788296520179135,0.24063361786776793,0.5314834169304407,0.51104473044904,0.5230076019446191,0.13571921722016805,0.5314834169304407,Other,1,5
2024-11-19,African Cup of Nations qualification,False,2,3,1,0.8247686624954631,0.13421854492103505,0.04101279258350206,0.5112070191788057,0.2715710874134013,0.7999499053115243,0.8247686624954631,Other,0,8
2024-11-19,African Cup of Nations qualification,False,0,1,0,0.3182222079774305,0.25507408447536545,0.42670370754720416,0.5109306049489571,0.5486939689789524,0.3234485058648499,0.42670370754720416,Other,0,4
2024-11-19,African Cup of Nations qualification,False,0,6,0,0.8908426446425479,0.09546979771367056,0.013687557643781448,0.5110837050695111,0.13507275915671,0.006051338731442457,0.8908426446425479,Other,1,8
2024-11-19,African Cup of Nations qualification,False,2,3,1,0.3738746737180983,0.2571479600356595,0.3689773662462422,0.5109306731397922,0.5522865559038688,0.2689859179786718,0.3738746737180983,Other,0,3
2024-11-19,African Cup of Nations qualification,True,1,0,0,0.3897398944255872,0.256852431983378,0.3534076735910349,0.51122906257105,0.5521258526159878,0.13839708452994762,0.3897398944255872,Other,0,3
2024-11-19,African Cup of Nations qualification,False,0,3,0,0.9152867926373216,0.07926113751546662,0.00545206984721186,0.5108815145368619,0.06503743157125924,0.003603026283645513,0.9152867926373216,Other,1,9
2024-11-19,African Cup of Nations qualification,False,2,1,0,0.28624542792243635,0.25167568562184484,0.4620788864557187,0.5109304836720263,0.5427454393691277,0.1856477847016091,0.4620788864557187,Other,1,4
2024-11-19,African Cup of Nations qualification,False,0,2,0,0.9101073624158464,0.08279208204025174,0.007100555543901668,0.5109539880949091,0.08114661957129793,0.004065552090434007,0.9101073624158464,Other,1,9
2024-11-19,FIFA World Cup qualification,False,1,2,1,0.5259916214284857,0.24170793641734498,0.23230044215416917,0.5110456160037217,0.5249800590288992,0.165315340618995,0.5259916214284857,WC qual,0,5
2024-11-19,African Cup of Nations qualification,False,0,4,0,0.897657217290596,0.09109190092357712,0.011250881785826953,0.5107398582824579,0.11664625919034297,0.005300313756831467,0.897657217290596,Other,1,8
2024-11-19,FIFA World Cup qualification,False,0,6,1,0.34525471250367434,0.25666003305992413,0.3980852544364014,0.5109306574841416,0.5514438458068305,0.29358163064917037,0.3980852544364014,WC qual,0,3
2024-11-19,Friendly,False,1,2,1,0.187982334386193,0.22895572203802247,0.5830619435757844,0.5107093738533461,0.5006127510380186,0.1876492940438269,0.5830619435757844,Friendly,0,5
2024-11-19,FIFA World Cup qualification,False,2,1,0,0.5971870026453838,0.2251874698021474,0.17762552755246858,0.5109290676487913,0.49355898101124174,0.5164660445309665,0.5971870026453838,WC qual,0,5
2024-11-19,UEFA Nations League,False,1,2,1,0.022093795406005323,0.10934672408126717,0.8685594805127277,0.510722955989817,0.1876457696413993,0.37744185349199066,0.8685594805127277,Other,0,8
2024-11-19,UEFA Nations League,False,1,2,1,0.2086837141036651,0.2354240044265396,0.5558922814697951,0.5111685413827557,0.5134769834684916,0.17628256056489716,0.5558922814697951,Other,0,5
2024-11-19,UEFA Nations League,False,2,3,1,0.28371625125555855,0.2512760346509982,0.46500771409344344,0.5111676931374376,0.5423209551486208,0.18335582860301514,0.46500771409344344,Other,1,4
2024-11-19,UEFA Nations League,False,0,3,1,0.4995574087088127,0.24642151164237888,0.25402107964880827,0.5109302716951271,0.533394584678269,0.15748474804209228,0.4995574087088127,Other,1,4
2024-11-19,UEFA Nations League,False,0,5,1,0.6234433153529564,0.2176513563996969,0.1589053282473466,0.511075517278117,0.478746711785906,0.08352292004888504,0.6234433153529564,Other,1,6
2024-11-19,UEFA Nations League,False,0,4,1,0.12566735600875728,0.20153446389137056,0.6727981800998722,0.5108098493470409,0.4446612472053404,0.6085574817472086,0.6727981800998722,Other,0,6
2024-11-19,UEFA Nations League,False,0,1,0,0.8319496285550148,0.1303975401353578,0.03765283130962757,0.5105384070516699,0.25871242415221785,0.014829331524214388,0.8319496285550148,Other,1,8
2024-11-19,UEFA Nations League,False,0,6,0,0.7984106136139187,0.14791273690293213,0.053676649483149146,0.5111966658736509,0.3121506399798722,0.021759731701626806,0.7984106136139187,Other,1,7
2024-11-19,UEFA Nations League,False,1,0,0,0.6931238579795375,0.19407994215136012,0.11279619986910241,0.510925991652692,0.4283516181526572,0.24657183260267426,0.6931238579795375,Other,0,6
2024-11-19,CONCACAF Nations League,True,1,0,0,0.34388411070656366,0.2566065606473375,0.3995093286460988,0.5109306557540153,0.5513513980771563,0.13893199263585038,0.3995093286460988,Other,0,3
2024-11-19,CONCACAF Nations League,True,1,4,1,0.5550620335610252,0.2356563409546396,0.20928162548433524,0.5109297359695243,0.513624527793089,0.1759463299331331,0.5550620335610252,Other,0,5
2024-11-19,CONCACAF Nations League,False,0,7,1,0.5698221880817103,0.23217168533590074,0.19800612658238897,0.5111424417908287,0.5072991120736605,0.11212968801548426,0.5698221880817103,Other,1,5
2024-11-19,CONCACAF Nations League,False,0,8,1,0.7103052144126574,0.18743402015803864,0.10226076542930401,0.510925071857214,0.4131889123422141,0.04719016647134177,0.7103052144126574,Other,1,7
2024-11-19,CONCACAF Nations League,False,0,3,0,0.8208968830429834,0.13632583781809754,0.04277727913891926,0.510877037256669,0.27758245144406185,0.016953911057123894,0.8208968830429834,Other,1,8
2024-11-19,CONCACAF Nations League,False,0,4,0,0.6914449207294242,0.19473695244497605,0.11381812682559977,0.510760518461409,0.4296133289987577,0.05408040146887981,0.6914449207294242,Other,1,6
2024-11-19,FIFA World Cup qualification,False,0,1,0,0.8521116116200407,0.11901767947488513,0.028870708905073986,0.5109922625724109,0.22202694860688357,0.011352246625151607,0.8521116116200407,WC qual,1,8
