Date,Div,season,HomeTeam,AwayTeam,Result,GoalDiff,mu_model,mu_mkt,pH_n,pD_n,pA_n,pH_p,pD_p,pA_p,p_H_mkt,p_D_mkt,p_A_mkt
2023-10-28,D1,2023-24,Bayern Munich,Darmstadt,H,8.0,3.345815340948948,3.243401679940377,0.9229870006245968,0.04998258183047362,0.027030417544929557,0.9337384522052459,0.060430391616246394,0.0055507162070488085,0.914776224089205,0.0550631912285381,0.0301605846822568
2023-10-28,D1,2023-24,M'gladbach,Heidenheim,H,1.0,0.8617494992858493,1.0045930852641596,0.5718940880149468,0.1805159043737573,0.2475900076112959,0.5775532341486476,0.23464735326172417,0.18779710071257089,0.574644908659327,0.2187274539716807,0.206627637368992
2023-10-28,D1,2023-24,Augsburg,Wolfsburg,H,1.0,-0.5576690419689171,0.0945248457627585,0.2981319261550842,0.1903457809676149,0.5115222928773009,0.24628956932316692,0.25057365826371786,0.5031357873925937,0.3833179542257249,0.268957901583796,0.3477241441904791
2023-10-29,D1,2023-24,Ein Frankfurt,Dortmund,D,0.0,-0.32857759594719277,-0.311095278359872,0.3390599021438505,0.19515306610312977,0.4657870317530197,0.29452740666851174,0.2583082727366729,0.44716380698450897,0.3099966192876986,0.263078212044155,0.4269251686681464
2023-10-29,D1,2023-24,Leverkusen,Freiburg,H,1.0,3.064678064021942,2.189563526716706,0.9005398661055085,0.06237232669792449,0.037087807196567,0.924768433969173,0.06869805077106732,0.006346398914058336,0.778432341823669,0.1447160575504272,0.0768516006259036
2023-11-03,D1,2023-24,Darmstadt,Bochum,A,-1.0,0.3661405217472482,0.2583013786110081,0.4732711430440304,0.19452845101415694,0.33220040594181266,0.45629617866138167,0.25730530645387906,0.28639794588937495,0.4105251705988497,0.2756217151046102,0.31385311429654
2023-11-04,D1,2023-24,Dortmund,Bayern Munich,A,-4.0,-1.9839906387284474,-0.7703628778812004,0.10670968329390762,0.12193334454322402,0.7713569721628684,0.03811929365288989,0.13667409050652984,0.8251766508841302,0.2485487454795126,0.2145310363851864,0.5369202181353009
2023-11-04,D1,2023-24,Union Berlin,Ein Frankfurt,A,-3.0,-0.19044846594318604,0.1756871534636493,0.36473071889896413,0.19687941359709737,0.4383898675039385,0.325091685845842,0.2610772314219982,0.4138307135622906,0.3832582871017811,0.2986122850424921,0.3181294278557268
2023-11-04,D1,2023-24,Mainz,RB Leipzig,H,2.0,-3.0294332807586453,-0.9116356286472086,0.03854092780915297,0.06404030863199317,0.8974187635588539,0.0064538739273222595,0.06981097979536385,0.9235576102427466,0.2128291790722314,0.2407498387029945,0.5464209822247741
2023-11-04,D1,2023-24,Hoffenheim,Leverkusen,A,-1.0,-1.388113748132445,-1.2701623356819802,0.17213899817081246,0.15607452612016104,0.6717864757090265,0.10398523774048807,0.194398999606822,0.7016072143801417,0.1748810786762944,0.1930324081995825,0.6320865131241231
2023-11-04,D1,2023-24,Freiburg,M'gladbach,D,0.0,0.6648399091903304,0.568330373651334,0.5329022576267033,0.18730665201753077,0.27979109035576594,0.5294265377701802,0.24566559395958207,0.22490652841840655,0.4796243501593158,0.2528928391749119,0.2674828106657722
2023-11-04,D1,2023-24,FC Koln,Augsburg,D,0.0,-0.16866612454086,0.5285049468533614,0.3688384297866356,0.19706869622435857,0.4340928739890058,0.33000173839753977,0.26138055303745733,0.40861735447644654,0.4740732534024851,0.2498329484511811,0.2760937981463336
2023-11-05,D1,2023-24,Wolfsburg,Werder Bremen,D,0.0,1.0875145535242317,0.9036481493707208,0.615729157439525,0.17101578438339377,0.21325505817708118,0.6318884002673653,0.21911321167841918,0.14899422959481376,0.5541192353986862,0.224990408804571,0.2208903557967428
2023-11-05,D1,2023-24,Heidenheim,Stuttgart,H,2.0,-1.880476420785807,-1.1247113008069185,0.11655845198714054,0.12807558585160717,0.7553659621612523,0.04734827063401295,0.14717986323004123,0.8054474127617236,0.1831776921569908,0.2284333572781297,0.5883889505648796
2023-11-10,D1,2023-24,M'gladbach,Wolfsburg,H,4.0,0.27095820482910404,0.1930127081993953,0.4543312165959028,0.1959830042244325,0.3496857791796647,0.4332068166936278,0.2596400116125811,0.3071527290871602,0.4119586900354064,0.2492878226880921,0.3387534872765014
2023-11-11,D1,2023-24,Bochum,FC Koln,D,0.0,0.5187382512714365,0.0581082360130455,0.50374437423587,0.1913282029194039,0.30492742284472607,0.4935902473249907,0.25215719181192453,0.25425168084008243,0.3760430910723146,0.269792688608669,0.3541642203190163
2023-11-11,D1,2023-24,Darmstadt,Mainz,D,0.0,-0.0275842572547349,-0.3395085234867403,0.39578817313929826,0.19774012837042704,0.4064716984902747,0.3623357373120335,0.2624560694680602,0.3752078914495123,0.2968578464825089,0.2797970507076521,0.4233451028098388
2023-11-11,D1,2023-24,Stuttgart,Dortmund,H,1.0,1.1672028044500475,0.0941104422790298,0.6308850736055496,0.16728230099847785,0.20183262539597258,0.6507189994044129,0.21297006459234646,0.13630586932668826,0.3910532301585531,0.2535735789309368,0.35537319091051
2023-11-11,D1,2023-24,Augsburg,Hoffenheim,D,0.0,-0.11027997171967613,0.1395485102488166,0.3799218484014092,0.19746337735172348,0.42261477424686733,0.3432748354971321,0.26201284608249154,0.39471199530723694,0.400417904696982,0.2520765565838514,0.3475055387191665
2023-11-11,D1,2023-24,Bayern Munich,Heidenheim,H,2.0,4.15427020480527,2.753660915369479,0.9664052883860873,0.023725928557349334,0.009868783056563366,0.9536561181951326,0.0417779919472047,0.0037758533228098978,0.8688693266262718,0.0803704127129301,0.0507602606607979
