"id","matchDate","Country","League","Season","homeTeam","awayTeam","referee","FTHG","FTAG","FTR"
"67280","30-09-25 18:45","Europe","Champions League","2025/2026","Kairat Almaty","Real Madrid","Marco Guida","0","5","A"
"67281","18-09-25 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Galatasaray","Marco Guida","5","1","H"
"67282","18-09-25 21:00","Europe","Champions League","2025/2026","Manchester City","Napoli","Felix Zwayer","2","0","H"
"67283","18-09-25 21:00","Europe","Champions League","2025/2026","Newcastle","Barcelona","Glenn Nyberg","1","2","A"
"67284","18-09-25 21:00","Europe","Champions League","2025/2026","Sporting CP","Kairat Almaty","Damian Sylwestrzak","4","1","H"
"67285","18-09-25 18:45","Europe","Champions League","2025/2026","Club Brugge KV","Monaco","Simone Sozza","4","1","H"
"67286","18-09-25 18:45","Europe","Champions League","2025/2026","FC Copenhagen","Bayer Leverkusen","Aliyar Aghayev","2","2","D"
"67287","17-09-25 21:00","Europe","Champions League","2025/2026","Ajax","Inter","Michael Oliver","0","2","A"
"67288","17-09-25 21:00","Europe","Champions League","2025/2026","Bayern Munich","Chelsea","José María Sánchez Martínez","3","1","H"
"67289","17-09-25 21:00","Europe","Champions League","2025/2026","Liverpool","Atl. Madrid","Maurizio Mariani","3","2","H"
"67290","17-09-25 21:00","Europe","Champions League","2025/2026","PSG","Atalanta","Sandro Schärer","4","0","H"
"67291","17-09-25 18:45","Europe","Champions League","2025/2026","Olympiacos Piraeus","Pafos","Istvan Kovacs","0","0","D"
"67292","17-09-25 18:45","Europe","Champions League","2025/2026","Slavia Prague","Bodo/Glimt","Marian Barbu","2","2","D"
"67293","16-09-25 21:00","Europe","Champions League","2025/2026","Benfica","Qarabag","Eric Lambrechts","2","3","A"
"67294","16-09-25 21:00","Europe","Champions League","2025/2026","Juventus","Dortmund","François Letexier","4","4","D"
"67295","16-09-25 21:00","Europe","Champions League","2025/2026","Real Madrid","Marseille","Irfan Peljto","2","1","H"
"67296","16-09-25 21:00","Europe","Champions League","2025/2026","Tottenham","Villarreal","Rade Obrenovič","1","0","H"
"67297","16-09-25 18:45","Europe","Champions League","2025/2026","Ath Bilbao","Arsenal","Donatas Rumsas","0","2","A"
"67298","16-09-25 18:45","Europe","Champions League","2025/2026","PSV","Royale Union SG","Anthony Taylor","1","3","A"
